Node,GPU,Time
nid003397,2,0.276936
nid003388,0,0.275329
nid003405,0,0.273563
nid003384,0,0.274016
nid003400,2,0.27563
nid003400,0,0.275561
nid008269,3,0.247309
nid008373,2,0.253809
nid008269,0,0.254259
nid008589,0,0.252469
nid008589,1,0.251641
nid008269,1,0.255048
nid008265,1,0.255611
nid008373,0,0.252672
nid008264,0,0.255253
nid008408,0,0.257209
nid008192,1,0.254499
nid008265,0,0.255744
nid008408,1,0.252782
nid008272,0,0.256359
nid008409,1,0.254509
nid008376,3,0.255228
nid008397,3,0.255086
nid008397,1,0.2551
nid008264,3,0.255367
nid008192,3,0.25475
nid008417,2,0.256833
nid008373,1,0.25192
nid008417,3,0.256614
nid008416,2,0.257615
nid008376,1,0.25493
nid008409,0,0.25709
nid008589,2,0.255603
nid008265,2,0.257616
nid008409,2,0.256819
nid008416,0,0.254679
nid008193,3,0.255569
nid008416,3,0.257644
nid008264,2,0.257805
nid008417,0,0.257104
nid008269,2,0.254917
nid008272,2,0.258342
nid008193,0,0.256331
nid008373,3,0.252957
nid008396,1,0.255231
nid008592,2,0.256991
nid008376,2,0.258257
nid008409,3,0.253356
nid008592,3,0.255932
nid008265,3,0.257853
nid008592,1,0.255589
nid008396,2,0.256841
nid008417,1,0.253824
nid008397,0,0.255012
nid008396,3,0.254284
nid008192,0,0.255601
nid008397,2,0.25448
nid008416,1,0.255334
nid008589,3,0.25446
nid008376,0,0.257685
nid008193,1,0.255192
nid008408,3,0.255464
nid008396,0,0.257807
nid008272,1,0.257562
nid008193,2,0.255803
nid008272,3,0.256284
nid008408,2,0.25827
nid008192,2,0.258829
nid008592,0,0.26474
nid008264,1,0.256026
nid001993,3,0.265885
nid002436,1,0.266915
nid002796,3,0.270435
nid002793,1,0.269549
nid002800,1,0.268305
nid002796,2,0.271752
nid002429,2,0.27226
nid002796,0,0.270531
